"STATE_CODE","STATE_NAME"
"AA","ARMED FORCES AMERICAS"
"AE","ARMED FORCES EUROPE, MIDDLE EAST, AFRICA AND CANADA"
"AK","ALASKA"
"AL","ALABAMA"
"AP","ARMED FORCES PACIFIC"
"AR","ARKANSAS"
"AS","AMERICAN SAMOA"
"AZ","ARIZONA"
"CA","CALIFORNIA"
"CO","COLORADO"
"CT","CONNECTICUT"
"DC","WASHINGTON DC"
"DE","DELAWARE"
"FL","FLORIDA"
"FM","FEDERATED STATES OF MICRONESIA"
"GA","GEORGIA"
"GU","GUAM"
"HI","HAWAII"
"IA","IOWA"
"ID","IDAHO"
"IL","ILLINOIS"
"IN","INDIANA"
"KS","KANSAS"
"KY","KENTUCKY"
"LA","LOUISIANA"
"MA","MASSACHUSETTS"
"MD","MARYLAND"
"ME","MAINE"
"MH","MARSHALL ISLANDS"
"MI","MICHIGAN"
"MN","MINNESOTA"
"MO","MISSOURI"
"MP","NORTHERN MARIANA ISLANDS"
"MS","MISSISSIPPI"
"MT","MONTANA"
"NC","NORTH CAROLINA"
"ND","NORTH DAKOTA"
"NE","NEBRASKA"
"NH","NEW HAMPSHIRE"
"NJ","NEW JERSEY"
"NM","NEW MEXICO"
"NV","NEVADA"
"NY","NEW YORK"
"OH","OHIO"
"OK","OKLAHOMA"
"OR","OREGON"
"PA","PENNSYLVANIA"
"PR","PUERTO RICO"
"PW","PALAU"
"RI","RHODE ISLAND"
"SC","SOUTH CAROLINA"
"SD","SOUTH DAKOTA"
"TN","TENNESSEE"
"TX","TEXAS"
"UT","UTAH"
"VA","VIRGINIA"
"VI","VIRGIN ISLANDS"
"VT","VERMONT"
"WA","WASHINGTON"
"WI","WISCONSIN"
"WV","WEST VIRGINIA"
"WY","WYOMING"
