state_abbrev,county_name,city,comm_dist_code
MD,Allegany,Barton,
MD,Allegany,Corriganville,
MD,Allegany,Cresaptown,
MD,Allegany,Cumberland,
MD,Allegany,Ellerslie,
MD,Allegany,Flintstone,
MD,Allegany,Frostburg,
MD,Allegany,Hancock,
MD,Allegany,Lavale,
MD,Allegany,Little Orleans,
MD,Allegany,Lonaconing,
MD,Allegany,Luke,
MD,Allegany,Midland,
MD,Allegany,Midlothian,
MD,Allegany,Mount Savage,
MD,Allegany,Oldtown,
MD,Allegany,Rawlings,
MD,Allegany,Westernport,
MD,Anne Arundel,Annapolis,
MD,Anne Arundel,Annapolis,5
MD,Anne Arundel,Annapolis,6
MD,Anne Arundel,Annapolis Jct,1
MD,Anne Arundel,Arnold,5
MD,Anne Arundel,Baltimore,1
MD,Anne Arundel,Baltimore,3
MD,Anne Arundel,Churchton,7
MD,Anne Arundel,Crofton,4
MD,Anne Arundel,Crofton,7
MD,Anne Arundel,Crownsville,4
MD,Anne Arundel,Crownsville,6
MD,Anne Arundel,Davidsonville,7
MD,Anne Arundel,Deale,7
MD,Anne Arundel,Dunkirk,7
MD,Anne Arundel,Edgewater,6
MD,Anne Arundel,Edgewater,7
MD,Anne Arundel,Fort Meade,4
MD,Anne Arundel,Friendship,7
MD,Anne Arundel,Galesville,7
MD,Anne Arundel,Gambrills,4
MD,Anne Arundel,Gambrills,7
MD,Anne Arundel,Gibson Island,3
MD,Anne Arundel,Glen Burnie,1
MD,Anne Arundel,Glen Burnie,2
MD,Anne Arundel,Glen Burnie,3
MD,Anne Arundel,Hanover,1
MD,Anne Arundel,Hanover,2
MD,Anne Arundel,Harmans,1
MD,Anne Arundel,Harmans,2
MD,Anne Arundel,Harwood,7
MD,Anne Arundel,Jessup,1
MD,Anne Arundel,Laurel,1
MD,Anne Arundel,Laurel,4
MD,Anne Arundel,Linthicum,1
MD,Anne Arundel,Lothian,7
MD,Anne Arundel,Mayo,7
MD,Anne Arundel,Millersville,2
MD,Anne Arundel,Millersville,3
MD,Anne Arundel,Millersville,4
MD,Anne Arundel,Millersville,5
MD,Anne Arundel,North Beach,7
MD,Anne Arundel,Odenton,2
MD,Anne Arundel,Odenton,4
MD,Anne Arundel,Owings,7
MD,Anne Arundel,Pasadena,2
MD,Anne Arundel,Pasadena,3
MD,Anne Arundel,Pasadena,5
MD,Anne Arundel,Riva,7
MD,Anne Arundel,Severn,1
MD,Anne Arundel,Severn,2
MD,Anne Arundel,Severn,4
MD,Anne Arundel,Severna Park,3
MD,Anne Arundel,Severna Park,5
MD,Anne Arundel,Shady Side,7
MD,Anne Arundel,Tracys Landing,7
MD,Anne Arundel,West River,7
MD,Baltimore,Baldwin,3
MD,Baltimore,Baltimore,1
MD,Baltimore,Baltimore,2
MD,Baltimore,Baltimore,3
MD,Baltimore,Baltimore,4
MD,Baltimore,Baltimore,5
MD,Baltimore,Baltimore,6
MD,Baltimore,Baltimore,7
MD,Baltimore,Boring,3
MD,Baltimore,Bradshaw,3
MD,Baltimore,Bradshaw,5
MD,Baltimore,Brooklandville,2
MD,Baltimore,Butler,3
MD,Baltimore,Chase,6
MD,Baltimore,Cockeysville,2
MD,Baltimore,Cockeysville,3
MD,Baltimore,Dundalk,7
MD,Baltimore,Ellicott City,1
MD,Baltimore,Fork,3
MD,Baltimore,Fort Howard,7
MD,Baltimore,Freeland,3
MD,Baltimore,Garrison,2
MD,Baltimore,Glen Arm,3
MD,Baltimore,Glen Arm,5
MD,Baltimore,Glyndon,2
MD,Baltimore,Glyndon,3
MD,Baltimore,Halethorpe,1
MD,Baltimore,Hampstead,3
MD,Baltimore,Hydes,3
MD,Baltimore,Joppa,5
MD,Baltimore,Kingsville,3
MD,Baltimore,Kingsville,5
MD,Baltimore,Long Green,3
MD,Baltimore,Lutherville Timonium,2
MD,Baltimore,Lutherville Timonium,3
MD,Baltimore,Manchester,3
MD,Baltimore,Marriottsville,4
MD,Baltimore,Maryland Line,3
MD,Baltimore,Middle River,6
MD,Baltimore,Monkton,3
MD,Baltimore,Owings Mills,2
MD,Baltimore,Owings Mills,4
MD,Baltimore,Parkton,3
MD,Baltimore,Parkville,5
MD,Baltimore,Perry Hall,5
MD,Baltimore,Perry Hall,6
MD,Baltimore,Phoenix,3
MD,Baltimore,Randallstown,2
MD,Baltimore,Randallstown,4
MD,Baltimore,Reisterstown,2
MD,Baltimore,Reisterstown,3
MD,Baltimore,Reisterstown,4
MD,Baltimore,Riderwood,2
MD,Baltimore,Sparks Glencoe,3
MD,Baltimore,Stevenson,2
MD,Baltimore,Timonium,3
MD,Baltimore,Towson,5
MD,Baltimore,Upper Falls,3
MD,Baltimore,Upperco,3
MD,Baltimore,White Hall,3
MD,Baltimore,White Marsh,5
MD,Baltimore,White Marsh,6
MD,Baltimore,Woodstock,4
MD,Baltimore City,Baltimore,1
MD,Baltimore City,Baltimore,10
MD,Baltimore City,Baltimore,11
MD,Baltimore City,Baltimore,12
MD,Baltimore City,Baltimore,13
MD,Baltimore City,Baltimore,14
MD,Baltimore City,Baltimore,2
MD,Baltimore City,Baltimore,3
MD,Baltimore City,Baltimore,4
MD,Baltimore City,Baltimore,5
MD,Baltimore City,Baltimore,6
MD,Baltimore City,Baltimore,7
MD,Baltimore City,Baltimore,8
MD,Baltimore City,Baltimore,9
MD,Baltimore City,Dundalk,1
MD,Baltimore City,Gwynn Oak,8
MD,Calvert,Broomes Island,
MD,Calvert,Chesapeake Beach,
MD,Calvert,Dowell,
MD,Calvert,Dunkirk,
MD,Calvert,Huntingtown,
MD,Calvert,Lusby,
MD,Calvert,North Beach,
MD,Calvert,Owings,
MD,Calvert,Port Republic,
MD,Calvert,Prince Frederick,
MD,Calvert,Saint Leonard,
MD,Calvert,Solomons,
MD,Calvert,St Leonard,
MD,Calvert,Sunderland,
MD,Caroline,Barclay,
MD,Caroline,Denton,
MD,Caroline,Federalsburg,
MD,Caroline,Goldsboro,
MD,Caroline,Greensboro,
MD,Caroline,Henderson,
MD,Caroline,Hillsboro,
MD,Caroline,Marydel,
MD,Caroline,Preston,
MD,Caroline,Queen Anne,
MD,Caroline,Ridgely,
MD,Caroline,Templeville,
MD,Carroll,Finksburg,
MD,Carroll,Hampstead,
MD,Carroll,Keymar,
MD,Carroll,Manchester,
MD,Carroll,Marriottsville,
MD,Carroll,Mount Airy,
MD,Carroll,New Windsor,
MD,Carroll,Reisterstown,
MD,Carroll,Sykesville,
MD,Carroll,Taneytown,
MD,Carroll,Union Bridge,
MD,Carroll,Upperco,
MD,Carroll,Westminster,
MD,Carroll,Woodbine,
MD,Cecil,Cecilton,
MD,Cecil,Charlestown,
MD,Cecil,Chesapeake City,
MD,Cecil,Childs,
MD,Cecil,Colora,
MD,Cecil,Conowingo,
MD,Cecil,Earleville,
MD,Cecil,Elk Mills,
MD,Cecil,Elkton,
MD,Cecil,Georgetown,
MD,Cecil,North East,
MD,Cecil,Perry Point,
MD,Cecil,Perryville,
MD,Cecil,Port Deposit,
MD,Cecil,Rising Sun,
MD,Cecil,Warwick,
MD,Charles,Accokeek,
MD,Charles,Bel Alton,
MD,Charles,Benedict,
MD,Charles,Brandywine,
MD,Charles,Bryans Road,
MD,Charles,Bryantown,
MD,Charles,Charlotte Hall,
MD,Charles,Cobb Island,
MD,Charles,Faulkner,
MD,Charles,Hughesville,
MD,Charles,Indian Head,
MD,Charles,Issue,
MD,Charles,La Plata,
MD,Charles,Marbury,
MD,Charles,Mechanicsville,
MD,Charles,Mt Victoria,
MD,Charles,Nanjemoy,
MD,Charles,Newburg,
MD,Charles,Pomfret,
MD,Charles,Port Tobacco,
MD,Charles,Waldorf,
MD,Charles,Welcome,
MD,Charles,White Plains,
MD,Dorchester,Cambridge,1
MD,Dorchester,Cambridge,2
MD,Dorchester,Cambridge,3
MD,Dorchester,Cambridge,5
MD,Dorchester,Church Creek,1
MD,Dorchester,Crapo,1
MD,Dorchester,Crocheron,1
