"precinct_name","precinct_code","state","county_name","city","cd","sd","hd","comm_dist_code","mcomm_dist_code"
"Precinct 2400101-000","2400101-000","MD","Allegany","Flintstone","006","001","01C","",""
"Precinct 2400101-000","2400101-000","MD","Allegany","Hancock","006","001","01C","",""
"Precinct 2400101-000","2400101-000","MD","Allegany","Little Orleans","006","001","01C","",""
"Precinct 2400101-000","2400101-000","MD","Allegany","Oldtown","006","001","01C","",""
"Precinct 2400102-000","2400102-000","MD","Allegany","Oldtown","006","001","01C","",""
"Precinct 2400103-000","2400103-000","MD","Allegany","Flintstone","006","001","01C","",""
"Precinct 2400103-000","2400103-000","MD","Allegany","Oldtown","006","001","01C","",""
"Precinct 2400104-002","2400104-002","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400104-003","2400104-003","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400104-004","2400104-004","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400104-005","2400104-005","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400104-008","2400104-008","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400105-004","2400105-004","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400105-006","2400105-006","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400106-001","2400106-001","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400106-003","2400106-003","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400106-005","2400106-005","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400106-006","2400106-006","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400107-001","2400107-001","MD","Allegany","Cresaptown","006","001","01B","",""
"Precinct 2400107-001","2400107-001","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400107-002","2400107-002","MD","Allegany","Cresaptown","006","001","01B","",""
"Precinct 2400107-002","2400107-002","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400107-002","2400107-002","MD","Allegany","Rawlings","006","001","01B","",""
"Precinct 2400108-000","2400108-000","MD","Allegany","Luke","006","001","01A","",""
"Precinct 2400108-000","2400108-000","MD","Allegany","Rawlings","006","001","01A","",""
"Precinct 2400108-000","2400108-000","MD","Allegany","Westernport","006","001","01A","",""
"Precinct 2400109-000","2400109-000","MD","Allegany","Barton","006","001","01A","",""
"Precinct 2400109-000","2400109-000","MD","Allegany","Lonaconing","006","001","01A","",""
"Precinct 2400109-000","2400109-000","MD","Allegany","Westernport","006","001","01A","",""
"Precinct 2400110-000","2400110-000","MD","Allegany","Frostburg","006","001","01A","",""
"Precinct 2400110-000","2400110-000","MD","Allegany","Lonaconing","006","001","01A","",""
"Precinct 2400111-000","2400111-000","MD","Allegany","Frostburg","006","001","01B","",""
"Precinct 2400112-000","2400112-000","MD","Allegany","Frostburg","006","001","01B","",""
"Precinct 2400113-000","2400113-000","MD","Allegany","Frostburg","006","001","01B","",""
"Precinct 2400113-000","2400113-000","MD","Allegany","Mount Savage","006","001","01B","",""
"Precinct 2400114-000","2400114-000","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400116-000","2400116-000","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400116-000","2400116-000","MD","Allegany","Flintstone","006","001","01C","",""
"Precinct 2400116-000","2400116-000","MD","Allegany","Oldtown","006","001","01C","",""
"Precinct 2400118-000","2400118-000","MD","Allegany","Frostburg","006","001","01A","",""
"Precinct 2400118-000","2400118-000","MD","Allegany","Lonaconing","006","001","01A","",""
"Precinct 2400118-000","2400118-000","MD","Allegany","Midland","006","001","01A","",""
"Precinct 2400118-000","2400118-000","MD","Allegany","Midlothian","006","001","01A","",""
"Precinct 2400120-000","2400120-000","MD","Allegany","Corriganville","006","001","01B","",""
"Precinct 2400120-000","2400120-000","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400120-000","2400120-000","MD","Allegany","Ellerslie","006","001","01B","",""
"Precinct 2400120-000","2400120-000","MD","Allegany","Mount Savage","006","001","01B","",""
"Precinct 2400121-000","2400121-000","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400121-000","2400121-000","MD","Allegany","Flintstone","006","001","01B","",""
"Precinct 2400122-000","2400122-000","MD","Allegany","Cumberland","006","001","01C","",""
"Precinct 2400123-000","2400123-000","MD","Allegany","Cumberland","006","001","01B","",""
"Precinct 2400124-000","2400124-000","MD","Allegany","Frostburg","006","001","01B","",""
"Precinct 2400124-000","2400124-000","MD","Allegany","Lavale","006","001","01B","",""
"Precinct 2400126-000","2400126-000","MD","Allegany","Frostburg","006","001","01B","",""
"Precinct 2400129-001","2400129-001","MD","Allegany","Cumberland","006","001","01B","",""
